,Format,Game Location,Line,Length,Location,Speed,Bowling Style,Bounce,Out
2613,ODI,Birmingham,Offside,Short,Short Third Man,60,Slow Left arm Orthodox,Normal,0
2614,ODI,Birmingham,Middle Stump,Full,Offside,55,Slow Left arm Orthodox,Normal,0
2615,ODI,Birmingham,Legside,Full,Long-off,56,Slow Left arm Orthodox,Normal,0
2616,ODI,Birmingham,Middle Stump,Short,Midwicket,98,Right-arm medium,Normal,0
2617,ODI,Birmingham,Offside,Good,Legside,97,Right-arm medium,Normal,0
2618,ODI,Birmingham,Offside,Full,Offside,100,Right-arm medium,Normal,0
2619,ODI,Birmingham,Middle Stump,Good,Close,144,Left arm Fast,Normal,0
2620,ODI,Birmingham,Middle Stump,Back of a Length,Third Man,142,Left arm Fast,Normal,0
2621,ODI,Birmingham,Offside,Full,Offside,119,Right arm Medium fast,Normal,0
2622,ODI,Birmingham,Middle Stump,Full,Mid-On,117,Right arm Medium fast,Normal,0
2623,ODI,Birmingham,Wide Outside Off,Good,Legside,116,Right arm Medium fast,Normal,0
2624,ODI,Birmingham,Middle Stump,Full,Mid-On,143,Left arm Fast,Normal,0
2625,ODI,Birmingham,Middle Stump,Back of a Length,Point,140,Left arm Fast,Normal,0
2626,ODI,Birmingham,Offside,Short,Point,146,Left arm Fast,Normal,0
2627,ODI,Birmingham,Middle Stump,Short,Deep Square Leg,120,Right arm Medium fast,High,0
2628,ODI,Birmingham,Legside,Short,Square Leg,113,Right arm Medium fast,Normal,0
2629,ODI,Birmingham,Off Stump,Back of a Length,Wicketkeeper,140,Left arm Fast,Normal,0
2630,ODI,Birmingham,Offside,Back of a Length,Third Man,146,Left arm Fast,Normal,0
2631,ODI,Birmingham,Offside,Short,Point,106,Right-arm medium,Normal,0
2632,ODI,Birmingham,Off Stump,Back of a Length,Offside,108,Right-arm medium,Normal,0
2633,ODI,Birmingham,Middle Stump,Short,Deep Square Leg,104,Right-arm medium,High,0
2634,ODI,Birmingham,Offside,Back of a Length,Point,96,Right-arm medium,Normal,0
2635,ODI,Birmingham,Off Stump,Full,Offside,98,Right-arm medium,Normal,0
2636,ODI,Birmingham,Offside,Good,Wicketkeeper,99,Right-arm medium,Normal,0
2637,ODI,Birmingham,Offside,Back of a Length,Third Man,148,Left-arm fast,Normal,0
2638,ODI,Birmingham,Offside,Short,Short Third Man,106,Right-arm medium,Normal,0
2639,ODI,Birmingham,Off Stump,Full,Long-on,98,Right-arm medium,Normal,0
2640,ODI,Birmingham,Off Stump,Good,Deep Point,149,Left-arm fast,Normal,0
2641,ODI,Birmingham,Offside,Short,Third Man,143,Left-arm fast,Normal,0
2642,ODI,Birmingham,Off Stump,Back of a Length,Long-on,104,Right-arm medium,Normal,0
2643,ODI,Birmingham,Legside,Short,Legside,100,Right-arm medium,Normal,0
2644,ODI,Birmingham,Off Stump,Back of a Length,Third Man,149,Left-arm fast,Normal,0
2645,ODI,Birmingham,Off Stump,Short,Deep Square Leg,123,Right arm Medium fast,High,0
2646,ODI,Birmingham,Offside,Back of a Length,Point,114,Right arm Medium fast,Normal,0
2647,ODI,Birmingham,Offside,Good,Deep Point,123,Right arm Medium fast,Normal,0
2648,ODI,Birmingham,Offside,Short,Deep Midwicket,112,Right arm Medium fast,High,0
2649,ODI,Birmingham,Middle Stump,Full,Mid-Off,140,Left arm Fast,Normal,0
2650,ODI,Birmingham,Middle Stump,Full,Long-on,147,Left arm Fast,Normal,0
2651,ODI,Birmingham,Offside,Full,Mid-Off,140,Left arm Fast,Normal,0
2652,ODI,Birmingham,Wide Outside Off,Good,Close,123,Right arm Medium fast,Normal,0
2653,ODI,Birmingham,Middle Stump,Good,Point,112,Right arm Medium fast,Normal,0
2654,ODI,Birmingham,Leg Stump,Good,Legside,141,Left arm Fast,Normal,0
2655,ODI,Birmingham,Offside,Full,Long-on,142,Left-arm fast,Normal,0
2656,ODI,Birmingham,Offside,Full,Midwicket,149,Left-arm fast,Normal,0
2657,ODI,Birmingham,Off Stump,Short,Deep Square Leg,138,Left-arm fast,High,0
2658,ODI,Birmingham,Middle Stump,Full,Long-on,120,Right arm Medium fast,Normal,0
2659,ODI,Birmingham,Off Stump,Short,Long-on,121,Right arm Medium fast,Normal,0
2660,ODI,Birmingham,Off Stump,Good,Sweeper,124,Right arm Medium fast,Normal,0
2661,ODI,Birmingham,Wide Outside Off,Full,Third Man,148,Left-arm fast,Normal,0
2662,ODI,Birmingham,Middle Stump,Full,Midwicket,143,Left-arm fast,Normal,0
2663,ODI,Birmingham,Middle Stump,Good,Long-on,148,Left-arm fast,Normal,0
2664,ODI,Birmingham,Offside,Back of a Length,Third Man,148,Left-arm fast,Normal,0
2665,ODI,Birmingham,Off Stump,Good,Wicketkeeper,55,Slow Left arm Orthodox,Normal,0
2666,ODI,Birmingham,Offside,Full,Wicketkeeper,112,Right arm Medium fast,Normal,0
2667,ODI,Birmingham,Wide Outside Off,Full,Close,118,Right arm Medium fast,Normal,0
2668,ODI,Birmingham,Legside,Good,Legside,121,Right arm Medium fast,Normal,0
2669,ODI,Birmingham,Off Stump,Full,Long-off,55,Slow Left arm Orthodox,Normal,0
2670,ODI,The Oval,Offside,Good,Offside,145,Right-arm fast,Normal,0
2671,ODI,The Oval,Offside,Good,Point,130,Right arm Fast medium,Normal,0
2672,ODI,The Oval,Offside,Back of a Length,Offside,132,Right arm Fast medium,Normal,0
2673,ODI,The Oval,Offside,Good,Offside,134,Right arm Fast medium,Normal,0
2674,ODI,The Oval,Offside,Good,Third Man,137,Right arm Fast medium,Normal,1
2675,ODI,The Oval,Leg Stump,Good,Deep Square Leg,143,Right-arm fast,Normal,0
2676,ODI,The Oval,Off Stump,Short,Offside,142,Right arm Fast,Normal,0
2677,ODI,The Oval,Middle Stump,Short,Point,143,Right arm Fast,Normal,0
2678,ODI,The Oval,Middle Stump,Short,Mid-On,150,Right arm Fast,Normal,0
2679,ODI,The Oval,Offside,Good,Offside,148,Right arm Fast,Normal,0
2680,ODI,The Oval,Middle Stump,Short,Gully,140,Right arm Fast,Normal,0
2681,ODI,The Oval,Offside,Full,Wicketkeeper,147,Right arm Fast,Normal,0
2682,ODI,The Oval,Middle Stump,Back of a Length,Close,148,Right arm Fast,Normal,0
2683,ODI,The Oval,Off Stump,Short,Mid-On,149,Right arm Fast,Normal,0
2684,ODI,The Oval,Off Stump,Short,Gully,147,Right arm Fast,Normal,0
2685,ODI,The Oval,Middle Stump,Short,Close,140,Right arm Fast,Normal,0
2686,ODI,The Oval,Middle Stump,Short,Gully,141,Right arm Fast,Normal,0
2687,ODI,The Oval,Offside,Short,Point,144,Right arm Fast,Normal,0
2688,ODI,The Oval,Middle Stump,Full,Point,144,Right arm Fast,Normal,0
2689,ODI,The Oval,Legside,Good,Long Leg,144,Right arm Fast,Normal,0
2690,ODI,The Oval,Middle Stump,Good,Close,124,Right arm Medium fast,Normal,0
2691,ODI,The Oval,Wide Outside Off,Good,Mid-On,126,Right arm Medium fast,Normal,0
2692,ODI,The Oval,Off Stump,Full,Close,126,Right arm Medium fast,Normal,0
2693,ODI,The Oval,Off Stump,Good,Square Leg,107,Right arm Medium fast,Normal,0
2694,ODI,The Oval,Offside,Full,Deep Midwicket,130,Right-arm fast-medium,Normal,0
2695,ODI,The Oval,Offside,Short,Gully,134,Right-arm fast-medium,Normal,0
2696,ODI,The Oval,Offside,Back of a Length,Offside,137,Right-arm fast-medium,Normal,0
2697,ODI,The Oval,Offside,Back of a Length,Mid-On,129,Right-arm fast-medium,Normal,0
2698,ODI,The Oval,Legside,Short,Long Leg,129,Right-arm fast-medium,High,0
2699,ODI,The Oval,Off Stump,Good,Mid-Off,123,Right arm Medium fast,Normal,0
2700,ODI,The Oval,Offside,Good,Offside,117,Right arm Medium fast,Normal,0
2701,ODI,The Oval,Middle Stump,Short,Gully,120,Right arm Medium fast,Normal,0
2702,ODI,The Oval,Middle Stump,Short,Gully,120,Right arm Medium fast,Normal,0
2703,ODI,The Oval,Middle Stump,Full,Gully,122,Right arm Medium fast,Normal,0
2704,ODI,The Oval,Middle Stump,Good,Long-on,134,Right-arm fast-medium,Normal,0
2705,ODI,The Oval,Legside,Short,Wicketkeeper,136,Right-arm fast-medium,Normal,0
2706,ODI,The Oval,Offside,Full,Mid-On,134,Right-arm fast-medium,Normal,0
2707,ODI,The Oval,Middle Stump,Short,Gully,133,Right-arm fast-medium,Normal,0
2708,ODI,The Oval,Middle Stump,Good,Gully,131,Right-arm fast-medium,Normal,0
2709,ODI,The Oval,Offside,Short,Point,124,Right arm Medium fast,Normal,0
2710,ODI,The Oval,Legside,Good,Legside,121,Right arm Medium fast,Normal,0
2711,ODI,The Oval,Offside,Good,Covers,119,Right arm Medium fast,Normal,0
2712,ODI,The Oval,Middle Stump,Good,Mid-On,120,Right arm Medium fast,Normal,0
2713,ODI,The Oval,Off Stump,Full,Mid-On,116,Right arm Medium fast,Normal,0
2714,ODI,The Oval,Middle Stump,Short,Midwicket,85,Legbreak googly,Normal,0
2715,ODI,The Oval,Legside,Full,Square Leg,116,Right arm Medium fast,Normal,0
2716,ODI,The Oval,Legside,Full,Legside,119,Right arm Medium fast,Normal,0
2717,ODI,The Oval,Legside,Short,Fine Leg,120,Right arm Medium fast,High,0
2718,ODI,The Oval,Offside,Full,Offside,90,Legbreak googly,Normal,0
2719,ODI,The Oval,Offside,Short,Midwicket,90,Legbreak googly,Normal,0
2720,ODI,The Oval,Legside,Full,Square Leg,81,Legbreak googly,Normal,0
2721,ODI,The Oval,Offside,Full,Offside,116,Right arm Medium fast,Normal,0
2722,ODI,The Oval,Middle Stump,Good,Mid-On,121,Right arm Medium fast,Normal,0
2723,ODI,The Oval,Offside,Full,Point,147,Right-arm fast,Normal,0
2724,ODI,The Oval,Offside,Back of a Length,Offside,147,Right-arm fast,Normal,0
2725,ODI,The Oval,Offside,Good,Point,142,Right-arm fast,Normal,0
2726,ODI,The Oval,Offside,Good,Second slip,140,Right-arm fast,Normal,0
2727,ODI,The Oval,Offside,Good,Gully,140,Right-arm fast,Normal,0
2728,ODI,The Oval,Middle Stump,Full,Mid-Off,138,Right-arm fast-medium,Normal,0
2729,ODI,The Oval,Middle Stump,Short,Close,128,Right-arm fast-medium,High,0
2730,ODI,The Oval,Legside,Back of a Length,Fine Leg,137,Right-arm fast-medium,Normal,0
2731,ODI,The Oval,Legside,Back of a Length,Square Leg,140,Right-arm fast,Normal,0
2732,ODI,The Oval,Middle Stump,Full,Midwicket,146,Right-arm fast,Normal,0
2733,ODI,The Oval,Wide Outside Off,Good,Midwicket,149,Right-arm fast,Normal,0
2734,ODI,The Oval,Middle Stump,Good,Close,-1,Right-arm fast,Normal,0
2735,ODI,The Oval,Offside,Full,Offside,142,Right-arm fast,Normal,0
2736,ODI,The Oval,Offside,Good,Gully,149,Right-arm fast,Normal,0
2737,ODI,The Oval,Middle Stump,Full,Mid-Off,137,Right-arm fast-medium,Normal,0
2738,ODI,The Oval,Offside,Good,Point,141,Right arm Fast,Normal,0
2739,ODI,The Oval,Offside,Good,Gully,149,Right arm Fast,Normal,0
2740,ODI,The Oval,Offside,Full,Close,145,Right arm Fast,Normal,0
2741,ODI,The Oval,Offside,Back of a Length,Offside,149,Right arm Fast,Normal,0
2742,ODI,The Oval,Wide Outside Off,Good,Mid-On,133,Right-arm fast-medium,Normal,0
2743,ODI,The Oval,Leg Stump,Good,Midwicket,134,Right-arm fast-medium,Normal,0
2744,ODI,The Oval,Offside,Good,Close,142,Right arm Fast,Normal,0
2745,ODI,The Oval,Legside,Good,Fine Leg,146,Right arm Fast,Normal,0
2746,ODI,The Oval,Offside,Good,Deep Point,133,Right-arm fast-medium,Normal,0
2747,ODI,The Oval,Offside,Good,Point,134,Right-arm fast-medium,Normal,0
2748,ODI,The Oval,Middle Stump,Full,Offside,142,Right arm Fast,Normal,0
2749,ODI,The Oval,Middle Stump,Short,Close,146,Right arm Fast,High,0
2750,ODI,The Oval,Wide Outside Off,Full,Point,141,Right arm Fast,Normal,0
2751,ODI,The Oval,Middle Stump,Good,Midwicket,137,Right-arm fast-medium,Normal,0
2752,ODI,The Oval,Middle Stump,Short,Close,131,Right-arm fast-medium,High,0
2753,ODI,The Oval,Offside,Good,Close,137,Right-arm fast-medium,Normal,0
2754,ODI,The Oval,Middle Stump,Good,Gully,134,Right-arm fast-medium,Normal,0
2755,ODI,The Oval,Offside,Full,Offside,82,Legbreak googly,Normal,0
2756,ODI,The Oval,Middle Stump,Full,Long-on,73,Legbreak googly,Normal,0
2757,ODI,The Oval,Middle Stump,Short,Midwicket,87,Legbreak googly,Normal,0
2758,ODI,The Oval,Middle Stump,Good,Close,-1,Legbreak googly,Normal,0
2759,ODI,The Oval,Middle Stump,Good,Offside,132,Right-arm fast-medium,Normal,0
2760,ODI,The Oval,Middle Stump,Full,Midwicket,136,Right-arm fast-medium,Normal,0
2761,ODI,The Oval,Offside,Good,Offside,138,Right-arm fast-medium,Normal,0
2762,ODI,The Oval,Middle Stump,Full,Midwicket,138,Right-arm fast-medium,Normal,0
2763,ODI,The Oval,Middle Stump,Full,Offside,134,Right-arm fast-medium,Normal,0
2764,ODI,The Oval,Offside,Full,Offside,128,Right-arm fast-medium,Normal,0
2765,ODI,The Oval,Wide Outside Off,Short,Point,84,Legbreak googly,Normal,0
2766,ODI,The Oval,Offside,Short,Offside,83,Right-arm offbreak,Normal,0
2767,ODI,The Oval,Offside,Good,Point,87,Right-arm offbreak,Normal,0
2768,ODI,The Oval,Middle Stump,Full,Long-on,89,Right-arm offbreak,Normal,0
2769,ODI,The Oval,Middle Stump,Full,Midwicket,72,Legbreak googly,Normal,0
2770,ODI,The Oval,Middle Stump,Full,Long-off,82,Legbreak googly,Normal,0
2771,ODI,The Oval,Middle Stump,Good,Third Man,73,Legbreak googly,Normal,0
2772,ODI,The Oval,Middle Stump,Good,Deep Midwicket,91,Right-arm offbreak,Normal,0
2773,ODI,The Oval,Legside,Good,Square Leg,71,Right-arm offbreak,Normal,0
2774,ODI,The Oval,Middle Stump,Short,Midwicket,70,Legbreak googly,High,0
2775,ODI,The Oval,Wide Outside Off,Good,Sweeper,85,Legbreak googly,Normal,0
2776,ODI,The Oval,Legside,Good,Deep Midwicket,92,Right-arm offbreak,Normal,0
2777,ODI,The Oval,Middle Stump,Good,Close,14590,Left arm Fast,Normal,0
2778,ODI,The Oval,Middle Stump,Good,Mid-Off,153,Left arm Fast,Normal,0
2779,ODI,The Oval,Off Stump,Good,Square Leg,149,Left arm Fast,Normal,0
2780,ODI,The Oval,Offside,Good,Offside,-1,,Normal,0
2781,ODI,The Oval,Off Stump,Good,Long Leg,-1,,Normal,0
2782,ODI,The Oval,Off Stump,Good,Point,145,Left arm Fast,Normal,0
2783,ODI,The Oval,Off Stump,Good,Offside,147,Left arm Fast,Normal,0
2784,ODI,The Oval,Middle Stump,Back of a Length,First slip,144,Left arm Fast,Normal,0
2785,ODI,The Oval,Off Stump,Back of a Length,Point,147,Left arm Fast,Normal,1
2786,ODI,Chennai,Offside,Full,Offside,146,Right-arm fast,Normal,0
2787,ODI,Chennai,Off Stump,Full,Offside,145,Right-arm fast,Normal,0
2788,ODI,Chennai,Offside,Short,Offside,147,Right-arm fast,Normal,0
2789,ODI,Chennai,Offside,Full,Point,142,Right-arm fast,High,1
2790,ODI,Kolkata,Offside,Full,Offside,147,Right-arm fast,Normal,0
2791,ODI,Kolkata,Offside,Short,Wicketkeeper,140,Right-arm fast,Normal,0
2792,ODI,Kolkata,Middle Stump,Short,Third Man,147,Right-arm fast,Normal,0
2793,ODI,Kolkata,Middle Stump,Back of a Length,Close,151,Right arm Fast,Normal,0
2794,ODI,Kolkata,Offside,Good,Wicketkeeper,143,Right arm Fast,Normal,0
2795,ODI,Kolkata,Middle Stump,Good,Close,143,Right arm Fast,Normal,0
2796,ODI,Kolkata,Middle Stump,Full,Close,146,Right arm Fast,Normal,0
2797,ODI,Kolkata,Offside,Back of a Length,Offside,142,Right arm Fast,Normal,0
2798,ODI,Kolkata,Offside,Good,Wicketkeeper,147,Right arm Fast,Normal,0
2799,ODI,Kolkata,Offside,Full,Wicketkeeper,128,Right-arm fast-medium,Normal,0
2800,ODI,Kolkata,Middle Stump,Good,Close,138,Right-arm fast-medium,Normal,0
2801,ODI,Kolkata,Offside,Full,Wicketkeeper,130,Right-arm fast-medium,Normal,0
2802,ODI,Kolkata,Middle Stump,Good,Third Man,138,Right-arm fast-medium,Normal,0
2803,ODI,Kolkata,Legside,Good,Square Leg,109,Right arm Medium,Normal,0
2804,ODI,Kolkata,Middle Stump,Good,Point,107,Right arm Medium,Normal,0
2805,ODI,Kolkata,Off Stump,Short,Offside,108,Right arm Medium,Normal,0
2806,ODI,Kolkata,Middle Stump,Good,Point,97,Right arm Medium,Normal,0
2807,ODI,Kolkata,Wide Outside Off,Good,Mid-On,113,Right arm Medium,Normal,0
2808,ODI,Kolkata,Offside,Good,Wicketkeeper,134,Right-arm fast-medium,Normal,0
2809,ODI,Kolkata,Middle Stump,Good,Close,128,Right-arm fast-medium,Normal,0
2810,ODI,Kolkata,Middle Stump,Back of a Length,Close,145,Right-arm fast-medium,Normal,0
2811,ODI,Kolkata,Middle Stump,Full,Point,132,Right-arm fast-medium,Normal,0
2812,ODI,Kolkata,Offside,Short,Square Leg,128,Right-arm fast-medium,High,0
2813,ODI,Kolkata,Middle Stump,Good,Sweeper,103,Right arm Medium,Normal,0
2814,ODI,Kolkata,Offside,Full,Offside,106,Right arm Medium,Normal,0
2815,ODI,Kolkata,Wide Outside Off,Good,Point,110,Right arm Medium,Normal,0
2816,ODI,Kolkata,Offside,Full,Third Man,134,Right-arm fast-medium,Normal,0
2817,ODI,Kolkata,Middle Stump,Full,Mid-Off,128,Right-arm fast-medium,Normal,0
2818,ODI,Kolkata,Off Stump,Good,Offside,128,Right-arm fast-medium,Normal,0
2819,ODI,Kolkata,Wide Outside Off,Good,Point,128,Right-arm fast-medium,Normal,0
2820,ODI,Kolkata,Middle Stump,Full,Deep Point,57,Slow Left arm Orthodox,Normal,0
2821,ODI,Kolkata,Middle Stump,Full,Long-on,51,Slow Left arm Orthodox,Normal,0
2822,ODI,Kolkata,Middle Stump,Short,Short Third Man,51,Slow Left arm Orthodox,Normal,0
2823,ODI,Kolkata,Off Stump,Good,Mid-On,134,Right-arm fast-medium,Normal,0
2824,ODI,Kolkata,Legside,Short,Legside,129,Right-arm fast-medium,Normal,0
2825,ODI,Kolkata,Middle Stump,Good,Point,137,Right-arm fast-medium,Normal,0
2826,ODI,Kolkata,Middle Stump,Full,Close,130,Right-arm fast-medium,Normal,0
2827,ODI,Kolkata,Middle Stump,Short,Deep Midwicket,134,Right-arm fast-medium,High,0
2828,ODI,Kolkata,Middle Stump,Short,Midwicket,54,Slow Left arm Orthodox,Normal,0
2829,ODI,Kolkata,Offside,Full,Long-off,58,Slow Left arm Orthodox,Normal,0
2830,ODI,Kolkata,Middle Stump,Full,Close,97,Right arm Medium,Normal,0
2831,ODI,Kolkata,Middle Stump,Good,Point,102,Right arm Medium,Normal,0
2832,ODI,Kolkata,Middle Stump,Good,Offside,65,Slow Left arm Orthodox,Normal,0
2833,ODI,Kolkata,Offside,Short,Mid-On,101,Right arm Medium,High,0
2834,ODI,Kolkata,Offside,Good,Wicketkeeper,89,Right arm Medium,Normal,0
2835,ODI,Kolkata,Middle Stump,Good,Offside,114,Right arm Medium,Normal,0
2836,ODI,Kolkata,Middle Stump,Good,Offside,109,Right arm Medium,Normal,0
2837,ODI,Kolkata,Middle Stump,Short,Close,102,Right arm Medium,High,0
2838,ODI,Kolkata,Middle Stump,Good,Midwicket,99,Right arm Medium,Normal,0
2839,ODI,Kolkata,Middle Stump,Full,Long-off,55,Slow Left arm Orthodox,Normal,0
2840,ODI,Kolkata,Middle Stump,Short,Short Third Man,52,Slow Left arm Orthodox,Normal,0
2841,ODI,Kolkata,Wide Outside Off,Good,Long-off,59,Slow Left arm Orthodox,Normal,0
2842,ODI,Kolkata,Middle Stump,Good,Offside,149,Right arm Fast,Normal,0
2843,ODI,Kolkata,Middle Stump,Short,Mid-On,147,Right arm Fast,High,0
2844,ODI,Kolkata,Middle Stump,Back of a Length,Third Man,146,Right arm Fast,Normal,0
2845,ODI,Kolkata,Middle Stump,Short,Short Third Man,63,Slow Left arm Orthodox,Normal,0
2846,ODI,Kolkata,Legside,Good,Deep Midwicket,52,Slow Left arm Orthodox,Normal,0
2847,ODI,Kolkata,Legside,Good,Deep Midwicket,63,Slow Left arm Orthodox,Normal,0
2848,ODI,Kolkata,Middle Stump,Good,Long-on,58,Slow Left arm Orthodox,Normal,0
2849,ODI,Kolkata,Middle Stump,Good,Deep Midwicket,141,Right arm Fast,Normal,0
2850,ODI,Kolkata,Middle Stump,Good,Third Man,143,Right arm Fast,Normal,0
2851,ODI,Kolkata,Middle Stump,Full,Close,77,Right arm Offbreak,Normal,0
2852,ODI,Kolkata,Wide Outside Off,Full,Long-off,73,Right arm Offbreak,Normal,0
2853,ODI,Kolkata,Middle Stump,Good,Third Man,147,Right-arm fast,Normal,0
2854,ODI,Kolkata,Middle Stump,Good,Close,144,Right-arm fast,Normal,0
2855,ODI,Kolkata,Legside,Short,Legside,149,Right-arm fast,Normal,0
2856,ODI,Kolkata,Middle Stump,Full,Mid-On,149,Right-arm fast,Normal,0
2857,ODI,Kolkata,Middle Stump,Good,Midwicket,87,Right arm Offbreak,Normal,0
2858,ODI,Kolkata,Wide Outside Off,Good,Close,74,Right arm Offbreak,Normal,0
2859,ODI,Kolkata,Wide Outside Off,Good,Legside,94,Right arm Offbreak,Normal,0
2860,ODI,Kolkata,Legside,Good,Square Leg,86,Right arm Offbreak,Normal,0
2861,ODI,Kolkata,Middle Stump,Good,Long-on,84,Right arm Offbreak,Normal,0
2862,ODI,Kolkata,Offside,Good,Sweeper,149,Right-arm fast,Normal,0
2863,ODI,Kolkata,Offside,Full,Point,143,Right-arm fast,Normal,0
2864,ODI,Kolkata,Offside,Full,Long-off,58,Slow Left arm Orthodox,Normal,0
2865,ODI,Kolkata,Offside,Full,Midwicket,130,Right-arm fast-medium,Normal,0
2866,ODI,Kolkata,Offside,Full,Third Man,138,Right-arm fast-medium,Normal,0
2867,ODI,Kolkata,Offside,Good,Offside,129,Right-arm fast-medium,Normal,0
2868,ODI,Kolkata,Offside,Full,Mid-Off,131,Right-arm fast-medium,Normal,0
2869,ODI,Kolkata,Middle Stump,Good,Deep Point,61,Slow Left arm Orthodox,Normal,0
2870,ODI,Kolkata,Leg Stump,Full,Long-on,59,Slow Left arm Orthodox,Normal,0
2871,ODI,Kolkata,Legside,Good,Fine Leg,62,Slow Left arm Orthodox,Normal,0
2872,ODI,Kolkata,Leg Stump,Good,Fine Leg,129,Right-arm fast-medium,Normal,0
2873,ODI,Kolkata,Middle Stump,Short,Midwicket,129,Right-arm fast-medium,Normal,0
2874,ODI,Kolkata,Wide Outside Off,Good,Sweeper,138,Right-arm fast-medium,Normal,0
2875,ODI,Kolkata,Offside,Good,Sweeper,58,Slow Left arm Orthodox,Normal,0
2876,ODI,Kolkata,Middle Stump,Good,Point,67,Slow Left arm Orthodox,Normal,0
2877,ODI,Kolkata,Offside,Good,Extra Cover,58,Slow Left arm Orthodox,Normal,0
2878,ODI,Kolkata,Offside,Full,Point,105,Right arm Medium,Normal,0
2879,ODI,Kolkata,Offside,Good,Third Man,99,Right arm Medium,Normal,0
2880,ODI,Kolkata,Wide Outside Off,Good,Midwicket,58,Slow Left arm Orthodox,Normal,0
2881,ODI,Kolkata,Legside,Good,Wicketkeeper,61,Slow Left arm Orthodox,Normal,0
2882,ODI,Kolkata,Offside,Good,Long-off,52,Slow Left arm Orthodox,Normal,0
2883,ODI,Kolkata,Offside,Good,Third Man,99,Right arm Medium,Normal,0
2884,ODI,Kolkata,Offside,Good,Point,93,Right arm Medium,Normal,0
2885,ODI,Kolkata,Offside,Short,Third Man,103,Right arm Medium,Normal,0
2886,ODI,Kolkata,Offside,Full,Point,144,Right-arm fast,Normal,0
2887,ODI,Kolkata,Legside,Good,Square Leg,147,Right-arm fast,Normal,0
2888,ODI,Kolkata,Middle Stump,Full,Midwicket,106,Right arm Medium,Normal,0
2889,ODI,Kolkata,Wide Outside Off,Full,Close,105,Right arm Medium,Normal,0
2890,ODI,Kolkata,Offside,Short,Midwicket,102,Right arm Medium,High,0
2891,ODI,Kolkata,Offside,Short,Third Man,98,Right arm Medium,Normal,0
2892,ODI,Kolkata,Legside,Good,Midwicket,143,Right-arm fast,Normal,0
2893,ODI,Kolkata,Middle Stump,Full,Point,148,Right-arm fast,Normal,0
2894,ODI,Kolkata,Offside,Short,Wicketkeeper,133,Right-arm fast,High,0
2895,ODI,Kolkata,Legside,Good,Midwicket,142,Right-arm fast,Normal,0
2896,ODI,Kolkata,Middle Stump,Good,Third Man,145,Right-arm fast,Normal,1
2897,ODI,Indore,Legside,Good,Long-on,57,Slow Left arm Orthodox,Normal,0
2898,ODI,Indore,Legside,Good,Point,52,Slow Left arm Orthodox,Normal,0
2899,ODI,Indore,Offside,Good,Point,57,Slow Left arm Orthodox,Normal,0
2900,ODI,Indore,Leg Stump,Good,Legside,60,Slow Left arm Orthodox,Normal,0
2901,ODI,Indore,Leg Stump,Good,Point,142,Right arm Fast,Normal,0
2902,ODI,Indore,Middle Stump,Full,Point,51,Slow Left arm Orthodox,Normal,0
2903,ODI,Indore,Middle Stump,Short,Deep Point,59,Slow Left arm Orthodox,Normal,0
2904,ODI,Indore,Offside,Full,Offside,145,Right arm Fast,Normal,0
2905,ODI,Indore,Legside,Full,Fine Leg,147,Right arm Fast,Normal,0
2906,ODI,Indore,Offside,Good,Point,143,Right arm Fast,Normal,0
2907,ODI,Indore,Offside,Full,Mid-Off,149,Right arm Fast,Normal,0
2908,ODI,Indore,Offside,Full,Third Man,101,Right arm Medium,Normal,0
2909,ODI,Indore,Offside,Full,Offside,128,Right arm Medium,Normal,0
2910,ODI,Indore,Legside,Short,Fine Leg,104,Right arm Medium,High,0
2911,ODI,Indore,Wide Outside Off,Full,Mid-On,149,Right-arm fast,Normal,0
2912,ODI,Indore,Offside,Full,Extra Cover,138,Right-arm fast,Normal,0
2913,ODI,Indore,Offside,Good,Midwicket,145,Right-arm fast,Normal,0
2914,ODI,Indore,Offside,Good,Third Man,145,Right-arm fast,Normal,0
2915,ODI,Indore,Leg Stump,Full,Mid-On,109,Right arm Medium,Normal,0
2916,ODI,Indore,Offside,Good,Third Man,128,Right arm Medium,Normal,0
2917,ODI,Indore,Middle Stump,Good,Midwicket,103,Right arm Medium,Normal,0
2918,ODI,Indore,Offside,Short,Offside,101,Right arm Medium,High,0
2919,ODI,Indore,Offside,Full,Midwicket,148,Right-arm fast,Normal,0
2920,ODI,Indore,Wide Outside Off,Good,Third Man,147,Right-arm fast,Normal,0
2921,ODI,Indore,Offside,Full,Offside,101,Right arm Medium,Normal,0
2922,ODI,Indore,Middle Stump,Good,Midwicket,131,Right arm Medium,Normal,0
2923,ODI,Indore,Legside,Short,Deep Square Leg,88,Right arm Medium,High,0
2924,ODI,Indore,Middle Stump,Good,Mid-On,104,Right arm Medium,Normal,0
2925,ODI,Indore,Offside,Full,Third Man,107,Right arm Medium,Normal,0
2926,ODI,Indore,Legside,Good,Close,128,Right-arm fast-medium,Normal,0
2927,ODI,Indore,Middle Stump,Good,Third Man,130,Right-arm fast-medium,Normal,0
2928,ODI,Indore,Offside,Good,Sweeper,133,Right-arm fast-medium,Normal,0
2929,ODI,Indore,Leg Stump,Good,Midwicket,52,Slow Left arm Orthodox,Normal,0
2930,ODI,Indore,Offside,Full,Long-off,57,Slow Left arm Orthodox,Normal,1
2931,ODI,Bengaluru,Legside,Short,Legside,137,Right-arm fast-medium,High,0
